time,temp,pressure,humidity,wind_speed,rain_1h,snow_3h,clouds_all,weather_main
2018-01-01 00:00:00+00:00,10.478000000000009,1026.6,60.0,3.2,0.0,0.0,4.0,clear
2018-01-01 01:00:00+00:00,10.019999999999982,1027.0,68.0,3.6,0.0,0.0,0.0,clear
2018-01-01 02:00:00+00:00,9.281999999999982,1027.4,76.2,3.6,0.0,0.0,0.0,clear
2018-01-01 03:00:00+00:00,8.838000000000022,1027.8,71.0,4.2,0.0,0.0,4.0,clear
2018-01-01 04:00:00+00:00,8.559999999999945,1028.2,63.6,3.6,0.0,0.0,1.6,clear
2018-01-01 05:00:00+00:00,7.75,1028.2,71.6,2.6,0.0,0.0,0.0,clear
2018-01-01 06:00:00+00:00,7.124000000000024,1028.2,67.6,2.4,0.0,0.0,4.0,clear
2018-01-01 07:00:00+00:00,6.946000000000026,1028.8,67.0,3.6,0.0,0.0,0.0,clear
2018-01-01 08:00:00+00:00,6.800000000000011,1029.6,82.4,2.4,0.0,0.0,12.0,clear
2018-01-01 09:00:00+00:00,7.1340000000000146,1030.0,70.8,3.2,0.0,0.0,8.0,clear
2018-01-01 10:00:00+00:00,9.198000000000036,1030.0,64.0,4.8,0.0,0.0,0.0,clear
2018-01-01 11:00:00+00:00,10.75,1030.2,58.4,5.2,0.0,0.0,4.0,clear
2018-01-01 12:00:00+00:00,11.894000000000005,1030.0,53.8,6.4,0.0,0.0,12.0,clear
2018-01-01 13:00:00+00:00,12.509999999999991,1028.8,50.0,5.8,0.0,0.0,4.0,clear
2018-01-01 14:00:00+00:00,13.560000000000002,1027.0,46.0,6.8,0.0,0.0,4.0,clear
2018-01-01 15:00:00+00:00,14.0,1026.8,49.0,5.4,0.18,0.0,23.0,clear
2018-01-01 16:00:00+00:00,13.504000000000019,1026.8,55.4,4.8,0.06,0.0,30.0,clear
2018-01-01 17:00:00+00:00,13.262,1026.6,58.2,6.2,0.18,0.0,19.0,clear
2018-01-01 18:00:00+00:00,12.548000000000002,1027.6,62.0,5.6,0.18,0.0,30.0,clear
2018-01-01 19:00:00+00:00,11.812000000000012,1027.6,64.0,5.0,0.06,0.0,30.0,clear
2018-01-01 20:00:00+00:00,11.701999999999998,1028.2,67.0,5.0,0.06,0.0,30.0,clear
2018-01-01 21:00:00+00:00,10.74799999999999,1028.4,67.4,5.4,0.06,0.0,19.0,clear
2018-01-01 22:00:00+00:00,10.935999999999979,1028.4,70.4,4.6,0.06,0.0,15.0,clear
2018-01-01 23:00:00+00:00,10.640000000000043,1028.6,70.4,4.6,0.18,0.0,19.0,clear
2018-01-02 00:00:00+00:00,9.886000000000024,1029.0,74.4,3.2,0.06,0.0,15.0,clear
2018-01-02 01:00:00+00:00,9.77600000000001,1028.4,73.4,4.6,0.06,0.0,21.6,clear
2018-01-02 02:00:00+00:00,9.908000000000015,1028.6,77.4,4.2,0.06,0.0,18.4,clear
2018-01-02 03:00:00+00:00,8.75666666666666,1028.3333333333333,82.5,3.0,0.09999999999999999,0.0,6.666666666666667,clear
2018-01-02 04:00:00+00:00,8.61200000000008,1028.2,75.8,2.8,0.0,0.0,4.0,clear
2018-01-02 05:00:00+00:00,8.844000000000051,1027.8,74.6,3.4,0.0,0.0,15.0,clear
2018-01-02 06:00:00+00:00,8.743999999999971,1027.8,74.2,3.0,0.06,0.0,15.0,clear
2018-01-02 07:00:00+00:00,8.958000000000027,1028.2,74.2,2.0,0.06,0.0,23.0,clear
2018-01-02 08:00:00+00:00,8.442000000000007,1028.8,73.6,3.0,0.06,0.0,23.0,clouds
2018-01-02 09:00:00+00:00,8.951999999999998,1029.8,74.8,2.6,0.06,0.0,23.0,clouds
2018-01-02 10:00:00+00:00,9.615999999999985,1030.4,76.2,4.2,0.06,0.0,23.0,clouds
2018-01-02 11:00:00+00:00,11.926000000000045,1030.2,72.0,4.6,0.18,0.0,23.0,clouds
2018-01-02 12:00:00+00:00,13.104000000000042,1030.0,66.0,4.0,0.06,0.0,23.0,clouds
2018-01-02 13:00:00+00:00,13.816000000000031,1029.4,64.0,4.6,0.06,0.0,34.0,clouds
2018-01-02 14:00:00+00:00,14.664000000000044,1028.2,61.8,3.6,0.0,0.0,30.0,clouds
2018-01-02 15:00:00+00:00,15.557999999999993,1028.2,59.2,3.8,0.0,0.0,16.0,clouds
2018-01-02 16:00:00+00:00,15.738000000000056,1027.8,59.0,3.8,0.0,0.0,31.0,clouds
2018-01-02 17:00:00+00:00,15.620000000000005,1028.0,59.2,3.2,0.0,0.0,31.0,clouds
2018-01-02 18:00:00+00:00,14.44399999999996,1028.4,67.8,3.4,0.0,0.0,27.0,clouds
2018-01-02 19:00:00+00:00,12.864000000000033,1028.4,75.6,2.2,0.0,0.0,23.0,clouds
2018-01-02 20:00:00+00:00,12.658000000000015,1028.8,75.4,3.6,0.0,0.0,20.6,clear
2018-01-02 21:00:00+00:00,11.988,1028.6,75.0,2.0,0.0,0.0,9.6,clear
2018-01-02 22:00:00+00:00,11.956000000000074,1029.0,76.8,3.2,0.0,0.0,9.6,clear
2018-01-02 23:00:00+00:00,11.178000000000054,1028.6,80.8,2.4,0.0,0.0,12.0,clear
2018-01-03 00:00:00+00:00,11.670000000000016,1029.2,79.0,3.8,0.0,0.0,19.0,clear
2018-01-03 01:00:00+00:00,11.592000000000041,1028.6,78.2,2.2,0.0,0.0,4.0,clear
2018-01-03 02:00:00+00:00,11.836000000000013,1028.4,81.0,3.8,0.0,0.0,30.2,clear
2018-01-03 03:00:00+00:00,12.232000000000028,1028.2,77.2,2.2,0.0,0.0,45.4,clouds
2018-01-03 04:00:00+00:00,12.403999999999996,1028.6,81.0,3.4,0.0,0.0,40.4,clouds
2018-01-03 05:00:00+00:00,12.364000000000033,1028.2,80.2,3.0,0.0,0.0,43.4,clouds
2018-01-03 06:00:00+00:00,10.79000000000002,1028.5,83.66666666666667,2.5,0.0,0.0,54.5,clouds
2018-01-03 07:00:00+00:00,11.258333333333383,1029.0,82.33333333333333,3.1666666666666665,0.0,0.0,42.833333333333336,clouds
2018-01-03 08:00:00+00:00,11.376666666666665,1029.6666666666667,84.33333333333333,2.3333333333333335,0.0,0.0,60.833333333333336,clouds
2018-01-03 09:00:00+00:00,12.078333333333319,1029.6666666666667,83.66666666666667,2.0,0.0,0.0,58.333333333333336,clouds
2018-01-03 10:00:00+00:00,13.163333333333355,1030.0,83.16666666666667,4.0,0.0,0.0,55.0,clouds
2018-01-03 11:00:00+00:00,14.001666666666665,1030.3333333333333,80.5,4.666666666666667,0.0,0.0,55.833333333333336,clouds
2018-01-03 12:00:00+00:00,16.49000000000001,1029.4,71.4,4.0,0.0,0.0,52.0,clouds
2018-01-03 13:00:00+00:00,16.308333333333337,1029.5,73.33333333333333,3.6666666666666665,0.0,0.0,47.5,clouds
2018-01-03 14:00:00+00:00,17.210000000000036,1027.6,67.8,5.2,0.0,0.0,27.0,clouds
2018-01-03 15:00:00+00:00,17.836000000000013,1027.2,67.2,4.2,0.06,0.0,27.0,clouds
2018-01-03 16:00:00+00:00,17.732000000000028,1027.0,64.0,3.6,0.06,0.0,27.0,clouds
2018-01-03 17:00:00+00:00,17.162000000000035,1026.8,70.8,2.8,0.0,0.0,31.0,clouds
2018-01-03 18:00:00+00:00,15.682000000000016,1026.8,70.4,2.2,0.0,0.0,16.0,clouds
2018-01-03 19:00:00+00:00,14.772000000000048,1027.2,75.2,2.4,0.06,0.0,20.0,clouds
2018-01-03 20:00:00+00:00,14.557999999999993,1027.4,79.2,3.0,0.0,0.0,23.0,clouds
2018-01-03 21:00:00+00:00,14.258000000000038,1027.4,81.0,3.0,0.0,0.0,16.0,clouds
2018-01-03 22:00:00+00:00,13.817999999999984,1027.4,81.0,3.4,0.0,0.0,20.0,clouds
2018-01-03 23:00:00+00:00,13.670000000000016,1027.0,80.2,3.0,0.0,0.0,27.0,clouds
2018-01-04 00:00:00+00:00,12.311666666666667,1027.3333333333333,83.0,3.6666666666666665,0.0,0.0,23.333333333333332,clouds
2018-01-04 01:00:00+00:00,12.485000000000014,1027.1666666666667,82.83333333333333,3.3333333333333335,0.0,0.0,13.333333333333334,mist
2018-01-04 02:00:00+00:00,13.439999999999998,1025.8,85.2,2.4,0.0,0.0,34.0,clear
2018-01-04 03:00:00+00:00,13.316000000000031,1025.8,81.4,3.6,0.0,0.0,44.0,clouds
2018-01-04 04:00:00+00:00,13.246000000000038,1025.4,80.6,2.0,0.0,0.0,55.0,clouds
2018-01-04 05:00:00+00:00,13.27800000000002,1025.2,81.4,2.8,0.0,0.0,44.0,clouds
2018-01-04 06:00:00+00:00,12.78000000000003,1025.3333333333333,84.0,1.6666666666666667,0.0,0.0,46.666666666666664,clear
2018-01-04 07:00:00+00:00,12.864999999999952,1025.3333333333333,82.16666666666667,3.5,0.0,0.0,51.666666666666664,clouds
2018-01-04 08:00:00+00:00,12.465000000000032,1025.5,83.66666666666667,3.1666666666666665,0.0,0.0,55.0,clouds
2018-01-04 09:00:00+00:00,12.20166666666671,1025.3333333333333,85.0,2.8333333333333335,0.0,0.0,55.0,clouds
2018-01-04 10:00:00+00:00,13.574999999999989,1025.8333333333333,78.5,4.5,0.0,0.0,53.333333333333336,clouds
2018-01-04 11:00:00+00:00,16.81600000000003,1025.0,69.0,4.2,0.0,0.0,45.0,clouds
2018-01-04 12:00:00+00:00,17.01600000000002,1024.0,64.6,4.0,0.0,0.0,41.0,clouds
2018-01-04 13:00:00+00:00,17.5,1023.4,62.0,6.0,0.0,0.0,45.0,clouds
2018-01-04 14:00:00+00:00,18.51600000000002,1022.2,57.8,4.4,0.0,0.0,38.0,clouds
2018-01-04 15:00:00+00:00,17.646000000000015,1021.4,60.0,4.0,0.0,0.0,45.0,clouds
2018-01-04 16:00:00+00:00,17.604000000000042,1021.0,59.0,4.8,0.0,0.0,34.0,clouds
2018-01-04 17:00:00+00:00,16.524,1021.0,62.2,5.6,0.0,0.0,38.0,clouds
2018-01-04 18:00:00+00:00,15.031999999999982,1021.2,69.4,3.4,0.0,0.0,26.0,clouds
2018-01-04 19:00:00+00:00,14.176000000000045,1021.6,70.8,3.6,0.0,0.0,26.0,clear
2018-01-04 20:00:00+00:00,14.451999999999998,1020.4,67.0,3.8,0.0,0.0,22.0,clear
2018-01-04 21:00:00+00:00,14.365999999999985,1020.4,66.2,4.4,0.0,0.0,22.0,clear
2018-01-04 22:00:00+00:00,13.858000000000004,1020.0,68.2,4.4,0.0,0.0,22.0,clear
2018-01-04 23:00:00+00:00,13.754000000000019,1019.4,68.6,3.6,0.0,0.0,18.0,clear
2018-01-05 00:00:00+00:00,13.402000000000044,1019.2,70.4,3.4,0.0,0.0,20.4,clear
2018-01-05 01:00:00+00:00,13.807999999999993,1017.8,68.4,4.8,0.0,0.0,33.0,clear
2018-01-05 02:00:00+00:00,13.026000000000067,1017.6,72.0,4.6,0.06,0.0,41.4,clear
2018-01-05 03:00:00+00:00,12.838000000000022,1017.0,73.0,4.0,0.0,0.0,41.0,clouds
2018-01-05 04:00:00+00:00,12.30400000000003,1015.0,72.2,3.0,0.0,0.0,33.0,clear
2018-01-05 05:00:00+00:00,12.644000000000005,1014.4,72.6,3.8,0.0,0.0,33.0,clear
2018-01-05 06:00:00+00:00,12.488,1014.8,72.8,4.6,0.0,0.0,45.0,clouds
2018-01-05 07:00:00+00:00,12.165999999999997,1014.0,71.6,4.6,0.0,0.0,33.0,clear
2018-01-05 08:00:00+00:00,11.82000000000005,1014.0,77.6,4.4,0.0,0.0,52.0,clouds
2018-01-05 09:00:00+00:00,12.358000000000004,1014.0,74.2,5.8,0.18,0.0,55.0,clouds
2018-01-05 10:00:00+00:00,12.872000000000071,1013.8,73.4,3.6,0.06,0.0,52.0,clouds
2018-01-05 11:00:00+00:00,13.577999999999975,1013.6,72.4,3.0,0.06,0.0,49.0,clouds
2018-01-05 12:00:00+00:00,14.394000000000005,1011.8,63.8,5.6,0.06,0.0,49.0,clouds
2018-01-05 13:00:00+00:00,14.543999999999983,1010.6,65.6,5.4,0.06,0.0,52.0,clouds
2018-01-05 14:00:00+00:00,14.996000000000038,1009.8,62.8,5.4,0.06,0.0,49.0,clouds
2018-01-05 15:00:00+00:00,14.920000000000016,1008.6,66.8,5.4,0.06,0.0,45.0,clouds
2018-01-05 16:00:00+00:00,14.490000000000009,1008.4,64.2,5.0,0.24,0.0,45.0,clouds
2018-01-05 17:00:00+00:00,12.51142857142861,1008.1428571428571,74.71428571428571,4.428571428571429,0.17142857142857143,0.0,51.42857142857143,clouds
2018-01-05 18:00:00+00:00,11.843333333333362,1007.3333333333334,78.83333333333333,3.0,0.35000000000000003,0.0,53.333333333333336,clouds
2018-01-05 19:00:00+00:00,10.757142857142867,1007.0,82.0,2.7142857142857144,0.42857142857142855,0.0,56.42857142857143,clouds
2018-01-05 20:00:00+00:00,11.75200000000001,1006.6,77.0,3.8,0.3,0.0,52.0,rain
2018-01-05 21:00:00+00:00,11.29000000000002,1006.4,77.4,2.2,0.3,0.0,42.0,rain
2018-01-05 22:00:00+00:00,10.691666666666663,1005.5,83.66666666666667,3.3333333333333335,0.15,0.0,53.333333333333336,clouds
2018-01-05 23:00:00+00:00,9.932000000000016,1005.8,83.0,3.8,0.12,0.0,45.0,clear
2018-01-06 00:00:00+00:00,9.676000000000045,1005.0,83.4,1.8,0.18,0.0,41.4,rain
2018-01-06 01:00:00+00:00,9.425000000000011,1004.0,87.5,2.5,0.3,0.0,52.833333333333336,rain
2018-01-06 02:00:00+00:00,7.8419999999999845,1003.6,88.4,1.6,0.42000000000000004,0.0,44.6,rain
2018-01-06 03:00:00+00:00,6.4966666666667265,1003.3333333333334,88.83333333333333,2.3333333333333335,0.65,0.0,52.833333333333336,rain
