totalload_actual,variable,value
22009.0,conventional,11765.0
20589.0,conventional,12091.0
19547.0,conventional,12035.0
18871.0,conventional,11928.0
18688.0,conventional,11937.0
18869.0,conventional,12008.0
19263.0,conventional,12630.0
19046.0,conventional,11864.0
19563.0,conventional,12095.0
21063.0,conventional,11254.0
22448.0,conventional,11212.0
23033.0,conventional,11217.0
23680.0,conventional,11142.0
23918.0,conventional,11031.0
22626.0,conventional,11147.0
22130.0,conventional,11113.0
22607.0,conventional,11230.0
25198.0,conventional,11310.0
26477.0,conventional,11381.0
27326.0,conventional,11307.0
27534.0,conventional,11237.0
26946.0,conventional,11411.0
24878.0,conventional,11755.0
28084.0,conventional,19000.0
26180.0,conventional,18177.0
25063.0,conventional,17136.0
24672.0,conventional,16485.0
24537.0,conventional,16089.0
25261.0,conventional,16149.0
27911.0,conventional,16954.0
32762.0,conventional,18567.0
35344.0,conventional,19249.0
36342.0,conventional,19571.0
36727.0,conventional,19733.0
36772.0,conventional,19653.0
36642.0,conventional,19385.0
36684.0,conventional,18764.0
35554.0,conventional,17319.0
35155.0,conventional,17066.0
34958.0,conventional,17095.0
35112.0,conventional,18095.0
36077.0,conventional,19009.0
37957.0,conventional,19787.0
38313.0,conventional,19697.0
37394.0,conventional,19619.0
34645.0,conventional,19197.0
31297.0,conventional,17558.0
28930.0,conventional,16121.0
26848.0,conventional,15740.0
25598.0,conventional,15714.0
25203.0,conventional,15324.0
24987.0,conventional,15093.0
25730.0,conventional,14938.0
28433.0,conventional,15398.0
32647.0,conventional,16778.0
35564.0,conventional,17456.0
36996.0,conventional,18042.0
37853.0,conventional,18500.0
37462.0,conventional,18232.0
37710.0,conventional,18437.0
36951.0,conventional,18215.0
35258.0,conventional,17519.0
34981.0,conventional,17140.0
34927.0,conventional,16779.0
35080.0,conventional,17109.0
35274.0,conventional,16970.0
37370.0,conventional,18178.0
38355.0,conventional,18646.0
37128.0,conventional,18737.0
34310.0,conventional,17431.0
31080.0,conventional,16004.0
24890.0,conventional,11993.0
22892.0,conventional,11518.0
21436.0,conventional,11526.0
20636.0,conventional,11666.0
20276.0,conventional,11729.0
20235.0,conventional,12232.0
20708.0,conventional,12156.0
21220.0,conventional,12028.0
21777.0,conventional,11774.0
23736.0,conventional,11610.0
25195.0,conventional,11336.0
25876.0,conventional,10777.0
25610.0,conventional,10653.0
25179.0,conventional,10691.0
24932.0,conventional,10896.0
23987.0,conventional,11134.0
23262.0,conventional,10900.0
22859.0,conventional,11065.0
22924.0,conventional,11004.0
23696.0,conventional,11058.0
26026.0,conventional,10977.0
28770.0,conventional,10952.0
27734.0,conventional,10961.0
26027.0,conventional,11033.0
24004.0,conventional,11243.0
22300.0,conventional,11164.0
21162.0,conventional,11048.0
20561.0,conventional,11011.0
20264.0,conventional,11296.0
20037.0,conventional,11366.0
20223.0,conventional,11259.0
20090.0,conventional,11384.0
21114.0,conventional,11456.0
23050.0,conventional,11257.0
24492.0,conventional,10599.0
25223.0,conventional,10521.0
25389.0,conventional,10451.0
25542.0,conventional,10546.0
25099.0,conventional,10417.0
23834.0,conventional,10404.0
23017.0,conventional,10553.0
22735.0,conventional,10637.0
22835.0,conventional,10345.0
23281.0,conventional,10609.0
24770.0,conventional,11070.0
27316.0,conventional,11394.0
26745.0,conventional,11570.0
24843.0,conventional,11390.0
25315.0,conventional,17350.0
23802.0,conventional,16809.0
22721.0,conventional,16046.0
22606.0,conventional,15818.0
22345.0,conventional,15841.0
22638.0,conventional,15929.0
24358.0,conventional,16901.0
26797.0,conventional,17419.0
29053.0,conventional,17627.0
30364.0,conventional,17503.0
31084.0,conventional,17368.0
31549.0,conventional,17543.0
31908.0,conventional,17146.0
31924.0,conventional,16738.0
31032.0,conventional,16189.0
30223.0,conventional,15701.0
29762.0,conventional,15607.0
29657.0,conventional,15566.0
29153.0,conventional,15099.0
28886.0,conventional,14864.0
28695.0,conventional,14990.0
29112.0,conventional,15933.0
28473.0,conventional,16425.0
26404.0,conventional,15560.0
25657.0,conventional,15858.0
24090.0,conventional,15471.0
22924.0,conventional,14932.0
22334.0,conventional,14696.0
21903.0,conventional,14780.0
21520.0,conventional,14777.0
21368.0,conventional,14528.0
21291.0,conventional,14310.0
22570.0,conventional,14561.0
24388.0,conventional,14517.0
25963.0,conventional,14752.0
26848.0,conventional,14871.0
27451.0,conventional,14927.0
27952.0,conventional,14672.0
28153.0,conventional,14499.0
27341.0,conventional,13635.0
26724.0,conventional,13280.0
26355.0,conventional,13319.0
26132.0,conventional,13304.0
26550.0,conventional,13888.0
27009.0,conventional,14617.0
27768.0,conventional,15429.0
28830.0,conventional,16099.0
27283.0,conventional,15803.0
28973.0,conventional,18214.0
26978.0,conventional,17295.0
25717.0,conventional,16751.0
25007.0,conventional,16326.0
24715.0,conventional,16167.0
24865.0,conventional,16297.0
26500.0,conventional,16826.0
28418.0,conventional,17622.0
31016.0,conventional,18943.0
33411.0,conventional,20346.0
34929.0,conventional,21029.0
36404.0,conventional,21418.0
37537.0,conventional,21422.0
38181.0,conventional,21651.0
37951.0,conventional,21649.0
37465.0,conventional,21820.0
37143.0,conventional,21740.0
36836.0,conventional,21833.0
36254.0,conventional,22017.0
35460.0,conventional,21827.0
34656.0,conventional,21759.0
34867.0,conventional,21608.0
34253.0,conventional,20533.0
32022.0,conventional,19665.0
28117.0,conventional,16602.0
26500.0,conventional,16166.0
25217.0,conventional,15347.0
24377.0,conventional,14722.0
23901.0,conventional,14613.0
23569.0,conventional,14375.0
23825.0,conventional,14125.0
24302.0,conventional,14262.0
25030.0,conventional,14925.0
27215.0,conventional,15988.0
29131.0,conventional,16254.0
30124.0,conventional,16227.0
30821.0,conventional,16242.0
31551.0,conventional,16665.0
31594.0,conventional,16708.0
30933.0,conventional,16424.0
30414.0,conventional,16599.0
30087.0,conventional,16770.0
29701.0,conventional,17293.0
29364.0,conventional,17992.0
29672.0,conventional,18301.0
31042.0,conventional,18462.0
29442.0,conventional,17500.0
27625.0,conventional,17410.0
23720.0,conventional,15106.0
22667.0,conventional,14540.0
21892.0,conventional,14462.0
21649.0,conventional,14060.0
21547.0,conventional,14129.0
22136.0,conventional,14342.0
24622.0,conventional,15993.0
