time,variable,value
2018-01-01 00:00:00+00:00,totalload_actual,22009.0
2018-01-01 01:00:00+00:00,totalload_actual,20589.0
2018-01-01 02:00:00+00:00,totalload_actual,19547.0
2018-01-01 03:00:00+00:00,totalload_actual,18871.0
2018-01-01 04:00:00+00:00,totalload_actual,18688.0
2018-01-01 05:00:00+00:00,totalload_actual,18869.0
2018-01-01 06:00:00+00:00,totalload_actual,19263.0
2018-01-01 07:00:00+00:00,totalload_actual,19046.0
2018-01-01 08:00:00+00:00,totalload_actual,19563.0
2018-01-01 09:00:00+00:00,totalload_actual,21063.0
2018-01-01 10:00:00+00:00,totalload_actual,22448.0
2018-01-01 11:00:00+00:00,totalload_actual,23033.0
2018-01-01 12:00:00+00:00,totalload_actual,23680.0
2018-01-01 13:00:00+00:00,totalload_actual,23918.0
2018-01-01 14:00:00+00:00,totalload_actual,22626.0
2018-01-01 15:00:00+00:00,totalload_actual,22130.0
2018-01-01 16:00:00+00:00,totalload_actual,22607.0
2018-01-01 17:00:00+00:00,totalload_actual,25198.0
2018-01-01 18:00:00+00:00,totalload_actual,26477.0
2018-01-01 19:00:00+00:00,totalload_actual,27326.0
2018-01-01 20:00:00+00:00,totalload_actual,27534.0
2018-01-01 21:00:00+00:00,totalload_actual,26946.0
2018-01-01 22:00:00+00:00,totalload_actual,24878.0
2018-01-01 23:00:00+00:00,totalload_actual,28084.0
2018-01-02 00:00:00+00:00,totalload_actual,26180.0
2018-01-02 01:00:00+00:00,totalload_actual,25063.0
2018-01-02 02:00:00+00:00,totalload_actual,24672.0
2018-01-02 03:00:00+00:00,totalload_actual,24537.0
2018-01-02 04:00:00+00:00,totalload_actual,25261.0
2018-01-02 05:00:00+00:00,totalload_actual,27911.0
2018-01-02 06:00:00+00:00,totalload_actual,32762.0
2018-01-02 07:00:00+00:00,totalload_actual,35344.0
2018-01-02 08:00:00+00:00,totalload_actual,36342.0
2018-01-02 09:00:00+00:00,totalload_actual,36727.0
2018-01-02 10:00:00+00:00,totalload_actual,36772.0
2018-01-02 11:00:00+00:00,totalload_actual,36642.0
2018-01-02 12:00:00+00:00,totalload_actual,36684.0
2018-01-02 13:00:00+00:00,totalload_actual,35554.0
2018-01-02 14:00:00+00:00,totalload_actual,35155.0
2018-01-02 15:00:00+00:00,totalload_actual,34958.0
2018-01-02 16:00:00+00:00,totalload_actual,35112.0
2018-01-02 17:00:00+00:00,totalload_actual,36077.0
2018-01-02 18:00:00+00:00,totalload_actual,37957.0
2018-01-02 19:00:00+00:00,totalload_actual,38313.0
2018-01-02 20:00:00+00:00,totalload_actual,37394.0
2018-01-02 21:00:00+00:00,totalload_actual,34645.0
2018-01-02 22:00:00+00:00,totalload_actual,31297.0
2018-01-02 23:00:00+00:00,totalload_actual,28930.0
2018-01-03 00:00:00+00:00,totalload_actual,26848.0
2018-01-03 01:00:00+00:00,totalload_actual,25598.0
2018-01-03 02:00:00+00:00,totalload_actual,25203.0
2018-01-03 03:00:00+00:00,totalload_actual,24987.0
2018-01-03 04:00:00+00:00,totalload_actual,25730.0
2018-01-03 05:00:00+00:00,totalload_actual,28433.0
2018-01-03 06:00:00+00:00,totalload_actual,32647.0
2018-01-03 07:00:00+00:00,totalload_actual,35564.0
2018-01-03 08:00:00+00:00,totalload_actual,36996.0
2018-01-03 09:00:00+00:00,totalload_actual,37853.0
